Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Dandy-Walker malformation,fatigue,dark urine,nausea,insomnia,hoarseness
De Quervain's thyroiditis,fever,chills,fatigue,body aches,headache
Deep vein thrombosis,delusions,pain,loss of appetite,constipation,lump
Dengue,foul smell,hunger,loss of appetite,earache,constipation
Dengue fever,fever,chills,fatigue,body aches,headache
Dependent personality disorder,mood swings,sore throat,hoarseness,anxiety,stiffness
Dermatitis,fever,chills,fatigue,body aches,headache
Dermatitis herpetiformis,fever,chills,fatigue,body aches,headache
Dermatofibrosarcoma protuberans,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Dermatomyositis,fever,chills,fatigue,body aches,headache
DiGeorge syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Diabetes,gas,pale skin,hunger,weight loss,fainting
Diabetes insipidus,hoarseness,weight loss,dizziness,hallucinations,frequent urination
Diabetes ketoacidosis,cold intolerance,delusions,loss of appetite,inflammation,dark urine
Diabetes mellitus type 1,confusion,frequent urination,chest pain,nausea,weight loss
Diabetes mellitus type 2,palpitations,sore throat,thirst,seizures,numbness
Diabetic ketoacidosis,hoarseness,shortness of breath,cough,blood in stool,difficulty swallowing
Diabetic neuropathy,headache,dizziness,confusion,seizures,numbness
Diabetic retinopathy,hoarseness,runny nose,sore throat,dizziness,cold intolerance
Diffuse large B-cell lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Diphtheria,diarrhea,blurred vision,bloating,redness,seizures
Diphyllobothriasis,spinning sensation,vomiting,chills,dry skin,tinnitus
Dipylidiasis,delusions,fatigue,headache,yellowish skin,chills
Discoid lupus,restlessness,watering eyes,cold intolerance,heartburn,inflammation
Dislocation,mood swings,watering eyes,itching,muscle aches,memory loss
Disseminated intravascular coagulation,dry mouth,inflammation,hoarseness,chills,blood in stool
Diverticular disease,loss of balance,loss of appetite,lethargy,runny nose,skin rash
Diverticulitis,fever,chills,fatigue,body aches,headache
Diverticulosis,cough,neck pain,yellowish skin,dark urine,seizures
Down syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Down's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Dracunculiasis,night sweats,tinnitus,inflammation,shortness of breath,dizziness
Dravet syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Dry eye syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Dry mouth,weight loss,cold intolerance,fever,dizziness,stiffness
Duchenne muscular dystrophy,inflammation,diarrhea,restlessness,heartburn,earache
Ductal carcinoma in situ,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Dupuytren's contracture,abdominal pain,delusions,shortness of breath,runny nose,shivering
Dysphagia,itching,weakness,difficulty swallowing,frequent urination,dry mouth
Dyspraxia,pain,blisters,foul smell,shortness of breath,difficulty swallowing
Dysthymia,dizziness,yellowish skin,hair loss,hallucinations,loss of appetite
Dystonia,seizures,tinnitus,difficulty swallowing,pale skin,lump
E. coli infection,fever,chills,fatigue,body aches,headache
Earache,sweating,diarrhea,runny nose,inflammation,chest pain
Earwax build-up,weakness,restlessness,redness,hoarseness,chest pain
Eating disorders,tinnitus,earache,dry mouth,blurred vision,skin rash
Ebola,loss of balance,palpitations,dry skin,watering eyes,muscle aches
Ebola virus disease,fever,chills,fatigue,body aches,headache
Echinococcosis,blisters,confusion,dry skin,tremor,constipation
Eclampsia,insomnia,constipation,lethargy,blisters,brittle nails
Ectopic pregnancy,indigestion,shivering,constipation,restlessness,thirst
Ectropion,cold intolerance,yellowish skin,sore throat,back pain,loss of appetite
Edwards syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Edwards' syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Ehlers-Danlos syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Ehrlichiosis,confusion,sore throat,stiffness,dry mouth,muscle aches
Ejaculation problems,runny nose,palpitations,blisters,confusion,hunger
Emphysema,sore throat,abdominal pain,neck pain,pain,insomnia
Encephalitis,fever,chills,fatigue,body aches,headache
End-stage renal disease,skin rash,confusion,watering eyes,foul smell,hallucinations
Endocarditis,fever,chills,fatigue,body aches,headache
Endometrial cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Endometrial hyperplasia,indigestion,blood in urine,tremor,confusion,diarrhea
Endometriosis,burning sensation,back pain,weakness,blood in urine,dry mouth
Enterobiasis,thirst,back pain,abdominal pain,fever,seizures
Enteropathic arthritis,fever,chills,fatigue,body aches,headache
Entropion,fatigue,dry mouth,palpitations,blurred vision,memory loss
Ependymoma,dizziness,night sweats,palpitations,nausea,watering eyes
Epidemic typhus,pain,thirst,swelling,loss of appetite,bloating
Epidermolysis bullosa,numbness,foul smell,fainting,restlessness,watering eyes
Epididymitis,fever,chills,fatigue,body aches,headache
Epidural hematoma,dry mouth,constipation,blood in urine,blood in stool,shortness of breath
Epiglottitis,fever,chills,fatigue,body aches,headache
Epilepsy,headache,dizziness,confusion,seizures,numbness
Epstein-Barr virus,fever,chills,fatigue,body aches,headache
Erectile dysfunction,fainting,nausea,redness,blood in stool,burning sensation
Erysipelas,foul smell,itching,loss of balance,yellowish skin,hunger
Erythema multiforme,dizziness,insomnia,earache,indigestion,cold intolerance
Erythema nodosum,joint pain,blisters,watering eyes,loss of balance,abdominal pain
Esophageal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Esophageal varices,blood in stool,anxiety,heat intolerance,bruising,fainting
Esophagitis,fever,chills,fatigue,body aches,headache
Essential hypertension,thirst,spinning sensation,anxiety,fatigue,chills
Essential thrombocythemia,vomiting,inflammation,back pain,sore throat,earache
Ewing sarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Ewing's sarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Eye cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Fabry disease,pain,earache,watering eyes,nausea,hallucinations
Facial palsy,headache,dizziness,confusion,seizures,numbness
Facioscapulohumeral muscular dystrophy,gas,blurred vision,tremor,tinnitus,nausea
Factitious disorder,numbness,insomnia,fever,heartburn,fatigue
Factor V Leiden,blurred vision,cough,insomnia,confusion,back pain
Fainting,fatigue,hunger,blood in urine,spinning sensation,memory loss
Familial adenomatous polyposis,dry mouth,shortness of breath,inflammation,thirst,chest pain
Familial hypercholesterolaemia,anxiety,blisters,chest pain,insomnia,heat intolerance
Fanconi anaemia,dry mouth,blood in urine,swelling,indigestion,gas
Fanconi anemia,sweating,chills,fainting,blurred vision,thirst
Fascioliasis,foul smell,sweating,heartburn,weight loss,blood in stool
Fasciolopsiasis,chest pain,heat intolerance,blurred vision,nausea,watering eyes
Fatal familial insomnia,confusion,joint pain,thirst,chills,fever
Febrile seizures,headache,dizziness,confusion,seizures,numbness
Fetal alcohol syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Fibroadenoma,headache,neck pain,dark urine,pale skin,burning sensation
Fibrocystic breast changes,blood in urine,confusion,neck pain,tinnitus,pain
Fibroids,lump,fatigue,hunger,runny nose,dry mouth
Fibromyalgia,joint pain,weakness,hunger,spinning sensation,indigestion
Fibrosarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Fifth disease,insomnia,shivering,burning sensation,night sweats,lump
Filariasis,back pain,thirst,weight loss,skin rash,joint pain
Flat feet,frequent urination,shivering,lump,blurred vision,diarrhea
Flu,fever,chills,fatigue,body aches,headache
Folate deficiency anemia,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Folic acid deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Follicular lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Follicular thyroid cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Folliculitis,fever,chills,fatigue,body aches,headache
Food allergy,blood in urine,blisters,difficulty swallowing,sore throat,vomiting
Food intolerance,mood swings,yellowish skin,runny nose,sore throat,hair loss
Food poisoning,fainting,watering eyes,fatigue,dry skin,anxiety
Fragile X syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Friedreich's ataxia,headache,restlessness,pain,weakness,hunger
Frontotemporal dementia,headache,dizziness,confusion,seizures,numbness
Frostbite,restlessness,cold intolerance,inflammation,blood in stool,tremor
Frozen shoulder,confusion,difficulty swallowing,abdominal pain,palpitations,memory loss
Fungal nail infection,fever,chills,fatigue,body aches,headache
Furuncle,fainting,sore throat,bruising,back pain,constipation
G6PD deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Galactosaemia,weakness,memory loss,lump,inflammation,loss of balance
Gallbladder cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Ganglion cyst,memory loss,blurred vision,pain,foul smell,tremor
Gangrene,dry mouth,hoarseness,muscle aches,fatigue,heat intolerance
Gas gangrene,dark urine,dry mouth,dizziness,insomnia,weight loss
Gastric cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Gastrinoma,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Gastritis,fever,chills,fatigue,body aches,headache
Gastro-oesophageal reflux disease,fever,chills,fatigue,body aches,headache
Gastroesophageal reflux disease,fever,chills,fatigue,body aches,headache
Gastroparesis,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Gaucher disease,nausea,earache,delusions,mood swings,skin rash
Gender dysphoria,skin rash,burning sensation,mood swings,night sweats,fainting
Generalised anxiety disorder,palpitations,bloating,skin rash,swelling,seizures
Generalized anxiety disorder,swelling,delusions,fainting,pale skin,lump
Genital herpes,sore throat,spinning sensation,frequent urination,hair loss,cold intolerance
Genital warts,shivering,blisters,night sweats,stiffness,chills
Gerstmann-Sträussler-Scheinker syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Gestational diabetes,sore throat,lethargy,blurred vision,dizziness,dry mouth
Gestational trophoblastic disease,blisters,mood swings,redness,tremor,lethargy
Giant cell arteritis,fever,chills,fatigue,body aches,headache
Giardiasis,fever,brittle nails,numbness,loss of appetite,spinning sensation
Gigantism,confusion,memory loss,watering eyes,palpitations,muscle aches
Gilbert's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Gingivitis,fever,chills,fatigue,body aches,headache
Glanders,confusion,shivering,loss of appetite,foul smell,vomiting
Glandular fever,fever,chills,fatigue,body aches,headache
Glioblastoma,blisters,spinning sensation,insomnia,joint pain,swelling
Glioblastoma multiforme,abdominal pain,dry skin,seizures,thirst,fainting
Glomerulonephritis,fever,chills,fatigue,body aches,headache
Glossitis,fever,chills,fatigue,body aches,headache
Glucagonoma,nausea,stiffness,weight loss,headache,diarrhea
Glucose-6-phosphate dehydrogenase deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Glue ear,shivering,sore throat,hoarseness,pale skin,confusion
Glycogen storage disease,joint pain,headache,redness,shortness of breath,difficulty swallowing
Gnathostomiasis,cold intolerance,diarrhea,blood in urine,mood swings,sore throat
Goiter,lump,sweating,weight loss,hair loss,watering eyes
Goitre,runny nose,earache,gas,chest pain,neck pain
Gonorrhoea,yellowish skin,pale skin,joint pain,gas,loss of appetite
Goodpasture syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Gout,heat intolerance,blood in urine,swelling,thirst,pain
Granulomatosis with polyangiitis,fever,chills,fatigue,body aches,headache
Granulomatous amoebic encephalitis,fever,chills,fatigue,body aches,headache
Graves' disease,loss of balance,heartburn,skin rash,frequent urination,sore throat
Group B strep,numbness,shortness of breath,dark urine,indigestion,redness
Guillain-Barré syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Gum disease,heat intolerance,hallucinations,hoarseness,watering eyes,chills
Gynaecomastia,pain,confusion,lethargy,shortness of breath,neck pain
HTLV-1 infection,fever,chills,fatigue,body aches,headache
Haemochromatosis,shivering,blurred vision,indigestion,diarrhea,brittle nails
Haemophilia,hair loss,skin rash,blurred vision,dark urine,foul smell
Haemophilus influenzae,fever,chills,fatigue,body aches,headache
Hairy cell leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
"Hand, foot and mouth disease",vomiting,stiffness,runny nose,hallucinations,fainting
Hantavirus,fever,chills,fatigue,body aches,headache
Hantavirus pulmonary syndrome,fever,chills,fatigue,body aches,headache
Hashimoto's thyroiditis,fever,chills,fatigue,body aches,headache
Hay fever,fever,chills,fatigue,body aches,headache
Head and neck cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Head lice,delusions,pale skin,fever,brittle nails,watering eyes
Headache,watering eyes,night sweats,blisters,brittle nails,seizures
Hearing loss,inflammation,neck pain,hallucinations,weakness,hair loss
Heart attack,chest pain,palpitations,shortness of breath,fatigue,dizziness
Heart block,chest pain,palpitations,shortness of breath,fatigue,dizziness
Heart failure,chest pain,palpitations,shortness of breath,fatigue,dizziness
Heart palpitations,chest pain,palpitations,shortness of breath,fatigue,dizziness
Heart valve disease,chest pain,palpitations,shortness of breath,fatigue,dizziness
Heatstroke,gas,loss of balance,heat intolerance,back pain,thirst
Hemochromatosis,dizziness,heat intolerance,lump,weakness,dark urine
Hemolytic anemia,indigestion,anxiety,neck pain,skin rash,itching
Hemolytic uremic syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Hemophagocytic lymphohistiocytosis,dizziness,lethargy,dry skin,redness,burning sensation
Hemophilia,loss of balance,yellowish skin,weakness,weight loss,shortness of breath
Hemophilia A,skin rash,bruising,pale skin,hunger,pain
Hemophilia B,bloating,pain,blurred vision,diarrhea,shivering
Hemorrhagic conjunctivitis,fever,chills,fatigue,body aches,headache
Hemorrhagic fever with renal syndrome,fever,chills,fatigue,body aches,headache
Hemorrhagic stroke,fatigue,tinnitus,swelling,blood in urine,heat intolerance
Hemorrhoids,thirst,watering eyes,shortness of breath,cold intolerance,blisters
Hemothorax,muscle aches,sore throat,loss of appetite,swelling,bruising
Henoch-Schonlein purpura,delusions,dry mouth,sweating,redness,anxiety
Henoch-Schönlein purpura,weight loss,hunger,pain,numbness,back pain
Hepatitis A,fever,chills,fatigue,body aches,headache
Hepatitis C,fever,chills,fatigue,body aches,headache
Hepatitis D,fever,chills,fatigue,body aches,headache
Hepatitis E,fever,chills,fatigue,body aches,headache
Hepatitis G,fever,chills,fatigue,body aches,headache
Hepatocellular carcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Hereditary angioedema,numbness,dizziness,redness,pale skin,blisters
Hereditary haemorrhagic telangiectasia,weakness,muscle aches,dizziness,difficulty swallowing,mood swings
Hereditary spastic paraplegia,diarrhea,hunger,joint pain,frequent urination,dizziness
Hereditary spherocytosis,loss of balance,burning sensation,pain,seizures,bloating
Hermansky-Pudlak syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Hernia,tremor,anxiety,gas,blood in urine,hair loss
Herpangina,pain,gas,earache,seizures,bloating
Herpes simplex,abdominal pain,joint pain,stiffness,sore throat,loss of appetite
Herpes zoster,redness,nausea,cough,anxiety,earache
Hiatus hernia,pale skin,pain,shivering,hunger,mood swings
High blood pressure,lethargy,joint pain,brittle nails,seizures,abdominal pain
High cholesterol,spinning sensation,dizziness,loss of appetite,blood in urine,shivering
Hip dysplasia,weight loss,muscle aches,fever,shortness of breath,dry skin
Hirschsprung's disease,abdominal pain,yellowish skin,tremor,joint pain,blisters
Hirsutism,hallucinations,anxiety,watering eyes,heat intolerance,night sweats
Histiocytosis,numbness,blood in urine,delusions,runny nose,heartburn
Histoplasmosis,mood swings,insomnia,hair loss,anxiety,blood in urine
Hives,shortness of breath,blood in urine,pain,skin rash,numbness
Hodgkin lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Hodgkin's lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Holoprosencephaly,stiffness,blood in urine,fatigue,insomnia,swelling
Homocystinuria,pain,fainting,watering eyes,insomnia,shivering
Horner's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Hunter syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Huntington's disease,blood in urine,chest pain,nausea,insomnia,chills
Hurler syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Hydatidiform mole,memory loss,diarrhea,seizures,dark urine,muscle aches
Hydrocele,redness,numbness,neck pain,stiffness,indigestion
Hydrocephalus,sweating,difficulty swallowing,thirst,spinning sensation,dizziness
Hydronephrosis,skin rash,chest pain,frequent urination,anxiety,vomiting
Hymenolepiasis,constipation,hallucinations,chills,dry skin,mood swings
Hypercholesterolemia,gas,heartburn,difficulty swallowing,vomiting,bloating
Hyperglycaemia,pale skin,restlessness,numbness,hair loss,fever
Hyperglycemia,thirst,shortness of breath,blisters,confusion,bruising
Hyperhidrosis,bruising,dizziness,hair loss,yellowish skin,nausea
Hyperlipidemia,difficulty swallowing,memory loss,hoarseness,abdominal pain,earache
Hyperopia,dry skin,swelling,gas,difficulty swallowing,bloating
Hyperosmolar hyperglycemic state,skin rash,bloating,constipation,frequent urination,diarrhea
Hyperparathyroidism,hunger,dark urine,numbness,gas,blisters
Hyperprolactinemia,back pain,delusions,pale skin,insomnia,muscle aches
Hypersensitivity pneumonitis,fever,chills,fatigue,body aches,headache
Hypertensive emergency,back pain,burning sensation,blurred vision,numbness,thirst
Hypertensive retinopathy,mood swings,skin rash,swelling,bloating,difficulty swallowing
Hypertensive urgency,dark urine,brittle nails,bloating,vomiting,headache
Hypertriglyceridemia,seizures,dry skin,inflammation,cold intolerance,tremor
Hypochondriasis,blurred vision,diarrhea,memory loss,seizures,burning sensation
Hypoglycaemia,hair loss,earache,foul smell,sweating,memory loss
Hypoglycemia,brittle nails,tremor,spinning sensation,runny nose,mood swings
Hypogonadism,fever,redness,hair loss,brittle nails,spinning sensation
Hypoparathyroidism,difficulty swallowing,tremor,anxiety,loss of balance,blurred vision
Hypopituitarism,runny nose,diarrhea,thirst,memory loss,neck pain
Hypothermia,abdominal pain,spinning sensation,blood in urine,dry skin,vomiting
Ichthyosis,tremor,foul smell,indigestion,hoarseness,hallucinations
Idiopathic pulmonary fibrosis,restlessness,hoarseness,diarrhea,hunger,foul smell
IgA nephropathy,yellowish skin,hallucinations,constipation,dark urine,loss of balance
Immune thrombocytopenic purpura,restlessness,night sweats,lethargy,hallucinations,itching
Impetigo,dry skin,nausea,delusions,hoarseness,tremor
Inclusion body myositis,fever,chills,fatigue,body aches,headache
Inclusion conjunctivitis,fever,chills,fatigue,body aches,headache
Incontinence,stiffness,insomnia,difficulty swallowing,restlessness,shivering
Indigestion,palpitations,neck pain,indigestion,skin rash,bruising
Infectious mononucleosis,yellowish skin,muscle aches,cold intolerance,redness,hoarseness
Infertility,watering eyes,mood swings,shivering,tinnitus,gas
Inflammatory breast cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Influenza,fever,chills,fatigue,body aches,headache
Ingrowing toenail,numbness,mood swings,muscle aches,restlessness,back pain
Inguinal hernia,yellowish skin,abdominal pain,chills,sweating,runny nose
Insulin resistance,bloating,swelling,confusion,weight loss,loss of balance
Insulinoma,heat intolerance,thirst,sore throat,heartburn,nausea
Intellectual disability,hoarseness,chills,weakness,bloating,spinning sensation
Intersex,hair loss,stiffness,tremor,hallucinations,burning sensation
Interstitial cystitis,fever,chills,fatigue,body aches,headache
Interstitial nephritis,fever,chills,fatigue,body aches,headache
Intestinal obstruction,gas,dry skin,memory loss,dry mouth,shivering
Intracerebral hemorrhage,stiffness,loss of appetite,hallucinations,tinnitus,frequent urination
Intussusception,weight loss,shivering,sore throat,diarrhea,fatigue
Iritis,fever,chills,fatigue,body aches,headache
Iron deficiency anaemia,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Iron deficiency anemia,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Irritable bowel syndrome,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Ischemic colitis,fever,chills,fatigue,body aches,headache
Ischemic heart disease,chest pain,palpitations,shortness of breath,fatigue,dizziness
Ischemic stroke,pain,bruising,chills,tinnitus,lump
Isosporiasis,pale skin,numbness,cough,hair loss,mood swings
Itching,dizziness,pain,weakness,indigestion,redness
Japanese encephalitis,fever,chills,fatigue,body aches,headache
Jaundice,tinnitus,bruising,hallucinations,hoarseness,sore throat
Jaw pain,itching,back pain,chills,insomnia,yellowish skin
Joint pain,joint pain,stiffness,swelling,movement restriction,muscle weakness
Juvenile idiopathic arthritis,fever,chills,fatigue,body aches,headache
Kaposi sarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Kaposi's sarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Kawasaki disease,blood in stool,bruising,headache,redness,cold intolerance
Keratitis,fever,chills,fatigue,body aches,headache
Keratoconus,blisters,watering eyes,constipation,vomiting,mood swings
Keratosis pilaris,fatigue,anxiety,chills,dark urine,blurred vision
Kidney cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Kidney infection,fever,chills,fatigue,body aches,headache
Kidney stones,yellowish skin,dark urine,insomnia,sore throat,sweating
Klinefelter syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Klippel-Feil syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Klippel-Trenaunay syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Knee pain,confusion,earache,skin rash,stiffness,numbness
Krabbe disease,muscle aches,weakness,tinnitus,redness,seizures
Kuru,hair loss,hallucinations,constipation,nausea,abdominal pain
Kwashiorkor,fever,shivering,blurred vision,numbness,brittle nails
Kyasanur Forest disease,blood in stool,fainting,cold intolerance,skin rash,restlessness
Kyphosis,spinning sensation,memory loss,neck pain,cold intolerance,joint pain
Labyrinthitis,fever,chills,fatigue,body aches,headache
Lactose intolerance,dry mouth,fatigue,heat intolerance,cold intolerance,lump
Lambert-Eaton myasthenic syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Langerhans cell histiocytosis,confusion,fever,yellowish skin,fatigue,difficulty swallowing
Large cell lung cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Larva migrans,seizures,itching,thirst,brittle nails,restlessness
Laryngeal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Laryngitis,fever,chills,fatigue,body aches,headache
Lassa fever,fever,chills,fatigue,body aches,headache
Lazy eye,redness,difficulty swallowing,nausea,headache,cold intolerance
Lead poisoning,delusions,burning sensation,sore throat,fever,insomnia
Legionnaire's disease,dry mouth,confusion,burning sensation,thirst,delusions
Legionnaires' disease,tinnitus,hoarseness,thirst,inflammation,restlessness
Leiomyosarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Leishmaniasis,loss of appetite,vomiting,seizures,night sweats,mood swings
Lennox-Gastaut syndrome,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Leprosy,loss of balance,sore throat,chest pain,confusion,skin rash
Leptospirosis,blood in urine,memory loss,frequent urination,fainting,headache
Lesch-Nyhan syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Leukaemia,palpitations,chest pain,frequent urination,fatigue,sore throat
Leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Leukocytosis,seizures,loss of balance,sweating,fainting,earache
Leukopenia,loss of appetite,watering eyes,foul smell,dry mouth,tremor
Lewy body dementia,headache,dizziness,confusion,seizures,numbness
Lichen planus,dry mouth,inflammation,bruising,abdominal pain,spinning sensation
Lichen sclerosus,heat intolerance,abdominal pain,delusions,spinning sensation,earache
Limb-girdle muscular dystrophy,hair loss,gas,cough,frequent urination,skin rash
Liposarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Listeriosis,cough,burning sensation,insomnia,difficulty swallowing,blood in urine
Liver abscess,chills,palpitations,night sweats,headache,abdominal pain
Liver cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Liver cirrhosis,heartburn,dizziness,weight loss,insomnia,dry mouth
Liver disease,diarrhea,bruising,muscle aches,cough,joint pain
Liver failure,blurred vision,restlessness,nausea,loss of appetite,chest pain
Lobular carcinoma in situ,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Loiasis,chest pain,confusion,swelling,thirst,earache
Long QT syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Lowe syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Lung abscess,cough,shortness of breath,chest pain,wheezing,sore throat
Lung cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Lupus,heartburn,diarrhea,weakness,lethargy,sweating
Lyme borreliosis,headache,fainting,tremor,nausea,skin rash
Lyme disease,swelling,nausea,tremor,cough,headache
Lymphedema,hallucinations,memory loss,blisters,headache,back pain
Lymphocyte-depleted HL,foul smell,headache,blurred vision,swelling,back pain
Lymphocyte-rich HL,pain,nausea,hoarseness,gas,fatigue
Lymphoedema,weakness,shortness of breath,pale skin,back pain,memory loss
Lymphogranuloma venereum,cough,hunger,hallucinations,shivering,inflammation
Lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
MALT lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
MERS,tinnitus,joint pain,nausea,redness,muscle aches
Macular degeneration,foul smell,brittle nails,weakness,hoarseness,frequent urination
Major depressive disorder,inflammation,loss of appetite,pale skin,numbness,blisters
Malignant melanoma,inflammation,diarrhea,blood in stool,hair loss,weakness
Mallory-Weiss tear,insomnia,fatigue,pain,neck pain,swelling
Malnutrition,runny nose,hallucinations,cold intolerance,inflammation,anxiety
Mantle cell lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Marasmus,fever,anxiety,blood in stool,bloating,loss of appetite
Marburg virus disease,fever,chills,fatigue,body aches,headache
Marfan syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Marginal zone lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Mastitis,fever,chills,fatigue,body aches,headache
Mastocytosis,confusion,indigestion,thirst,tinnitus,numbness
Mastoiditis,fever,chills,fatigue,body aches,headache
Measles,pain,night sweats,thirst,loss of balance,blood in urine
Meckel's diverticulum,hair loss,bloating,palpitations,numbness,anxiety
Medullary sponge kidney,heartburn,hallucinations,stiffness,dry mouth,vomiting
Medullary thyroid cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Medulloblastoma,night sweats,inflammation,hair loss,tremor,runny nose
Megaloblastic anemia,neck pain,anxiety,shortness of breath,dry mouth,chest pain
Melasma,neck pain,gas,brittle nails,blisters,cold intolerance
Melioidosis,restlessness,nausea,abdominal pain,neck pain,shortness of breath
Meniere's disease,dizziness,tremor,burning sensation,swelling,dry mouth
Meningioma,fainting,heartburn,constipation,fever,shivering
Meningitis,fever,chills,fatigue,body aches,headache
Meningococcal disease,heat intolerance,dry mouth,shivering,itching,hunger
Menkes disease,shivering,lethargy,cough,vomiting,fatigue
Menopause,tremor,chest pain,weight loss,memory loss,muscle aches
Meralgia paresthetica,cold intolerance,lethargy,runny nose,foul smell,fainting
Merkel cell carcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Mesenteric ischemia,dry skin,joint pain,chills,night sweats,insomnia
Mesothelioma,blurred vision,brittle nails,bruising,loss of balance,fever
Metabolic syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Metachromatic leukodystrophy,itching,restlessness,loss of appetite,diarrhea,dizziness
Microscopic polyangiitis,fever,chills,fatigue,body aches,headache
Microsporidiosis,heartburn,hair loss,swelling,hunger,fatigue
Milker's nodule,joint pain,indigestion,shortness of breath,stiffness,dizziness
Miscarriage,constipation,numbness,indigestion,itching,blurred vision
